CA1,CA2,CA3,CA4,CA5,CA6,PE1,PE2,PE4,PE6,QM1,QM2,QM3,QM4,QM5,QM6,QM7,QM8
8.00 ,10.00 ,4,10.00 ,48.00 ,40.00 ,8.80 ,9.73 ,9.73 ,7.50 ,0.00 ,10.00 ,30.00 ,10.00 ,10.00 ,2.50 ,5.00 ,40.00 
8.00 ,6.00 ,4,10.00 ,36.00 ,38.00 ,8.50 ,7.57 ,7.57 ,7.50 ,1.00 ,10.00 ,14.00 ,6.00 ,8.00 ,2.50 ,7.50 ,22.00 
8.00 ,6.00 ,4,10.00 ,36.00 ,36.00 ,8.61 ,7.23 ,7.23 ,7.50 ,0.80 ,10.00 ,30.00 ,6.00 ,2.00 ,2.50 ,2.50 ,26.00 
8.00 ,8.00 ,8,10.00 ,36.00 ,50.00 ,8.78 ,7.20 ,7.20 ,7.50 ,0.70 ,10.00 ,24.00 ,10.00 ,10.00 ,0.00 ,5.00 ,24.00 
8.00 ,6.00 ,0,10.00 ,38.00 ,26.00 ,8.12 ,6.95 ,6.95 ,10.00 ,1.00 ,10.00 ,24.00 ,10.00 ,10.00 ,7.50 ,5.00 ,24.00 
8.00 ,10.00 ,8,10.00 ,46.00 ,50.00 ,9.02 ,7.00 ,7.00 ,10.00 ,1.00 ,2.50 ,16.00 ,10.00 ,4.00 ,7.50 ,15.00 ,40.00 
10.00 ,8.00 ,8,10.00 ,44.00 ,36.00 ,8.73 ,9.25 ,9.25 ,7.50 ,0.90 ,10.00 ,22.00 ,8.00 ,8.00 ,0.00 ,5.00 ,20.00 
10.00 ,6.00 ,4,10.00 ,38.00 ,50.00 ,8.02 ,6.86 ,6.86 ,10.00 ,1.00 ,5.00 ,22.00 ,10.00 ,2.00 ,0.00 ,5.00 ,38.00 
10.00 ,10.00 ,0,10.00 ,46.00 ,28.00 ,8.46 ,9.33 ,9.33 ,10.00 ,0.00 ,10.00 ,22.00 ,10.00 ,10.00 ,2.50 ,2.50 ,16.00 
10.00 ,6.00 ,4,10.00 ,36.00 ,40.00 ,8.56 ,9.20 ,9.20 ,10.00 ,1.00 ,10.00 ,22.00 ,8.00 ,10.00 ,0.00 ,5.00 ,14.00 
10.00 ,8.00 ,8,10.00 ,40.00 ,22.00 ,8.06 ,8.00 ,8.00 ,10.00 ,1.00 ,10.00 ,22.00 ,8.00 ,8.00 ,10.00 ,12.50 ,18.00 
10.00 ,6.00 ,4,10.00 ,36.00 ,42.00 ,7.95 ,7.35 ,7.35 ,0.00 ,0.50 ,10.00 ,22.00 ,8.00 ,8.00 ,2.50 ,5.00 ,16.00 
10.00 ,10.00 ,8,10.00 ,46.00 ,46.00 ,8.33 ,8.55 ,8.55 ,5.00 ,1.00 ,2.50 ,22.00 ,8.00 ,8.00 ,2.50 ,2.50 ,24.00 
8.00 ,8.00 ,0,10.00 ,38.00 ,24.00 ,8.26 ,7.42 ,7.42 ,2.50 ,0.00 ,10.00 ,22.00 ,8.00 ,8.00 ,5.00 ,2.50 ,14.00 
10.00 ,6.00 ,0,10.00 ,36.00 ,50.00 ,7.43 ,8.22 ,8.22 ,5.00 ,1.00 ,10.00 ,22.00 ,8.00 ,8.00 ,5.00 ,12.00 ,26.00 
8.00 ,10.00 ,8,10.00 ,48.00 ,26.00 ,9.39 ,10.00 ,10.00 ,7.50 ,0.60 ,0.00 ,20.00 ,6.00 ,10.00 ,0.00 ,10.00 ,16.00 
8.00 ,6.00 ,10,10.00 ,36.00 ,38.00 ,7.50 ,6.00 ,6.00 ,7.50 ,1.00 ,5.00 ,16.00 ,6.00 ,8.00 ,2.50 ,5.00 ,12.00 
10.00 ,6.00 ,10,10.00 ,36.00 ,16.00 ,7.91 ,10.00 ,10.00 ,10.00 ,0.90 ,10.00 ,22.00 ,4.00 ,8.00 ,0.00 ,5.00 ,26.00 
8.00 ,8.00 ,4,10.00 ,40.00 ,36.00 ,9.31 ,8.00 ,8.00 ,0.00 ,0.00 ,10.00 ,22.00 ,4.00 ,8.00 ,2.50 ,7.50 ,18.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,50.00 ,8.36 ,7.53 ,7.53 ,10.00 ,1.00 ,0.00 ,22.00 ,10.00 ,8.00 ,7.50 ,10.00 ,40.00 
8.00 ,10.00 ,0,10.00 ,48.00 ,10.00 ,7.65 ,8.71 ,8.71 ,2.50 ,1.00 ,0.00 ,22.00 ,6.00 ,8.00 ,10.00 ,5.00 ,12.00 
10.00 ,8.00 ,8,10.00 ,44.00 ,48.00 ,6.72 ,6.86 ,6.86 ,7.50 ,0.80 ,10.00 ,30.00 ,8.00 ,8.00 ,0.00 ,10.00 ,24.00 
10.00 ,6.00 ,4,10.00 ,38.00 ,50.00 ,8.91 ,6.00 ,6.00 ,10.00 ,1.00 ,10.00 ,20.00 ,10.00 ,8.00 ,10.00 ,2.50 ,22.00 
10.00 ,10.00 ,4,10.00 ,48.00 ,6.00 ,8.46 ,8.50 ,8.50 ,10.00 ,1.00 ,0.00 ,24.00 ,8.00 ,8.00 ,0.00 ,5.00 ,38.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,50.00 ,8.44 ,9.60 ,9.60 ,10.00 ,1.00 ,10.00 ,20.00 ,10.00 ,8.00 ,2.50 ,2.50 ,34.00 
8.00 ,6.00 ,4,10.00 ,38.00 ,34.00 ,7.90 ,8.77 ,8.77 ,5.00 ,1.00 ,10.00 ,22.00 ,10.00 ,8.00 ,7.50 ,2.50 ,38.00 
8.00 ,8.00 ,2,10.00 ,44.00 ,38.00 ,9.13 ,10.00 ,10.00 ,5.00 ,0.00 ,10.00 ,30.00 ,8.00 ,10.00 ,2.50 ,2.50 ,8.00 
8.00 ,6.00 ,2,10.00 ,38.00 ,38.00 ,8.80 ,9.33 ,9.33 ,0.00 ,1.00 ,10.00 ,30.00 ,8.00 ,6.00 ,0.00 ,2.50 ,16.00 
8.00 ,10.00 ,10,10.00 ,46.00 ,36.00 ,6.87 ,10.00 ,10.00 ,10.00 ,0.80 ,2.50 ,28.00 ,8.00 ,10.00 ,2.50 ,5.00 ,32.00 
8.00 ,8.00 ,4,10.00 ,36.00 ,38.00 ,8.33 ,7.50 ,7.50 ,7.50 ,1.00 ,10.00 ,30.00 ,10.00 ,8.00 ,2.50 ,5.00 ,12.00 
